id,name,year,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
694192,"Chourio, Jackson",2024,1037,0.9017391304,792,73.93243991,0.4050144648,0.345959596,0.2642237223,0.1881313131,0.143683703,7.503751109,22,-3.632005959,245,0.2362584378,420,0.4050144648
545341,"Grichuk, Randal",2024,472,0.9182879377,381,73.92104076,0.4237288136,0.343832021,0.2775423729,0.1994750656,0.1610169492,7.714716568,9,-13.10281457,91,0.1927966102,194,0.4110169492
669261,"Suwinski, Jack",2024,278,0.9025974026,194,73.90956529,0.4244604317,0.2164948454,0.1510791367,0.1237113402,0.08633093525,7.420055324,9,-20.03884585,84,0.3021582734,81,0.2913669065
665862,"Chisholm Jr., Jazz",2024,930,0.908203125,642,73.90733401,0.4172043011,0.2959501558,0.2043010753,0.1588785047,0.1096774194,7.799252699,7,-6.574202986,288,0.3096774194,297,0.3193548387
670231,"Rave, John",2024,271,0.9033333333,208,73.85444793,0.3763837638,0.2644230769,0.2029520295,0.1586538462,0.1217712177,7.279157269,8,-18.51118607,63,0.2324723247,93,0.3431734317
664040,"Lowe, Brandon",2024,1055,0.9055793991,741,73.85187303,0.4037914692,0.2995951417,0.2104265403,0.1565452092,0.1099526066,7.18868,31,-10.58824532,314,0.2976303318,341,0.3232227488
670042,"Raley, Luke",2024,402,0.9054054054,237,73.83508465,0.3830845771,0.2869198312,0.1691542289,0.1434599156,0.08457711443,7.084802512,11,-21.99293382,165,0.4104477612,112,0.2786069652
669127,"Langeliers, Shea",2024,890,0.9053916582,673,73.81913436,0.395505618,0.323922734,0.2449438202,0.1872213967,0.1415730337,7.21035436,5,0.820461497,217,0.2438202247,352,0.395505618
677595,"Mauricio, Ronny",2024,326,0.9106145251,228,73.80017101,0.4079754601,0.2894736842,0.2024539877,0.149122807,0.1042944785,7.582320368,5,-7.101068542,98,0.3006134969,109,0.3343558282
621043,"Correa, Carlos",2024,935,0.9095330739,742,73.79498928,0.377540107,0.3140161725,0.249197861,0.1832884097,0.1454545455,7.194724684,15,-12.42729723,193,0.2064171123,383,0.4096256684
543807,"Springer, George",2024,985,0.9036697248,739,73.7742376,0.4121827411,0.3274695535,0.2456852792,0.1867388363,0.1401015228,7.513290863,14,10.68034881,246,0.2497461929,379,0.3847715736
666160,"Moniak, Mickey",2024,800,0.8998875141,593,73.76534201,0.37375,0.3322091062,0.24625,0.1686340641,0.125,7.673505663,19,3.045653552,207,0.25875,314,0.3925
671732,"Butler, Lawrence",2024,1046,0.902502157,722,73.76017324,0.3929254302,0.3047091413,0.2103250478,0.175900277,0.121414914,7.082091597,26,-26.37242292,324,0.309751434,357,0.3413001912
688760,"Crim, Blaine",2024,116,0.8923076923,77,73.66807129,0.3103448276,0.3376623377,0.224137931,0.1818181818,0.1206896552,7.303514138,3,-0.9256227402,39,0.3362068966,38,0.3275862069
670223,"Mervis, Matt",2024,262,0.9065743945,162,73.63461389,0.3664122137,0.2654320988,0.1641221374,0.1296296296,0.08015267176,8.261753244,6,-6.66174936,100,0.3816793893,66,0.2519083969
595879,"Báez, Javier",2024,799,0.9028248588,575,73.62712855,0.3554443054,0.2991304348,0.2152690864,0.1652173913,0.1188986233,8.280371327,10,-9.457700732,224,0.280350438,305,0.3817271589
